model_id,sA,rR,rA,rN,mN,rW,sN,mR,mW,mA,sW,rC,mC,sR,mse,mae,mad
1,0.07040768118546338,0.11631837799006955,0.03852917328272973,0.04574686953739814,0.14987321272833737,0.08357379667493786,0.028942725162039704,0.05301488263244846,0.044083072451828756,0.040566464241621844,0.04813904845500697,0.10242833570500474,0.04945731271187322,0.1106990481922971,0.013788095112916765,0.09439516466886122,0.08927896598025845
2,0.0005271458726950035,0.07525651828738002,0.0058937808540174014,0.0021195893054978513,0.0008546008520339801,0.0025885187546296844,0.00021169399314268262,0.28008393558442524,0.3555015227269369,0.17111794357596768,0.0022053765822599635,0.024855107132365665,4.117245988566322e-05,0.07874309401876224,0.02932738946564119,0.11005512190664164,0.1109193538955145
3,0.8278914925679555,0.7253034586585881,0.8967140424988207,0.7477889336113069,0.4158439682157476,0.8534329042709599,0.7557148029471417,0.544578718195682,0.5347331595069336,0.41110843566899435,0.2269443775583915,0.24163389250073572,0.09944618348182038,0.16413837386628138,0.01332426993912694,0.08931506391933575,0.08787095389182972
4,7.818272238772435,8.749473516247239,9.851403901373617,8.318353046921537,7.385103138293603,10.465162574548552,6.298126216362659,6.622296364833889,5.6106008832418,7.330122802793161,7.167910747250983,4.208669931208974,5.0843968215747655,5.08467774299703,0.01030634157256073,0.0728282435226537,0.05895502409298642
